Q,A,label
오늘 새로 온 신입사원 봤어요? 모여서 깔깔대며 웃는 모습들이 너무 부럽더라구요. 나도 그렇게 잘 웃었으면 좋겠는데 갑자기 감정표현을 잘하지 못하는 제 모습에 너무 슬퍼지더라구요.,"맞아요, 좋을 때다 싶더라구요. 무슨 마음인지 이해가 갈 것 같아요. 저도 제가 못하는 것을 잘하는 사람을 보면 부러운 마음에 슬퍼질 때가 있어요.",2
그렇죠? 저만 그런 건 아니겠죠? 오늘 해맑게 웃는 친구들을 보니 내가 너무 부정적으로 살고 있나 싶더라구요. 세상은 그들에게도 같은 세상일 텐데 생각하니 괜히 슬퍼지는 마음에 당황스럽기도 하구요.,"너무 행복하고 싶고, 잘 웃고 싶은데 마음처럼 되지 않으니 속상하고 슬퍼지는 거군요. 왠지 잘 웃는 사람들과 비교하게 되면 불행한 마음이 들 수 있지만 그건 겉모습일 뿐이에요. 너무 슬퍼 말아요.",1
겉모습이라도 그렇게 자기 감정을 잘 표현하고 밝은 사람들을 보면 부러워요. 왜 나는 저렇게 하지 못할까 상심이 되더라구요.,꼭 활짝 웃고 소리 내어 웃어야만 아름다운 건 아니에요. 조용하고 따뜻한 미소도 충분히 가치가 있답니다. 저는 대리님이 저에게 미소를 보낼 때 얼마나 마음이 편안해지고 기분이 좋아지는데요.,2
어머 그런가요? 저는 웃음이 예쁜 사람이 아니라고 생각했어요. 늘 잘 웃는 사람들을 보며 부러워하기만 했죠. 나는 웃는 모습도 숨기고 싶을 정도로 자신감도 없었어요.,맞아요. 너무 자신을 과소평가하지 않아도 되어요. 대리님의 미소만으로도 충분히 위로받는 사람들이 많을 거예요.,2
저는 늘 저 자신이 어둡다고만 생각했고 명랑하고 밝은 사람들이 웃는 모습을 보면 늘 부러웠어요. 이젠 그럴 필요 없지 않을까 하는 생각이 드네요. 뭔가 그렇게 생각하니 슬픔에서 자유로워지는 느낌이에요.,부러운 마음은 이해가 가요. 누구나 가질 수 있는 감정이죠. 하지만 따지고 보면 이 세상에 남을 부러워하는 것만큼 불필요한 것도 없을 거예요.,2
그럴까요? 전 늘 제가 갖지 못한 걸 보면 부러워서 그 부러움이 슬픔으로 변하더라구요.,사람 사는 세상이 다 비슷해요. 뚜껑을 열어보면 누구에게나 어려운 상황은 있기 마련이에요. 지금 환하게 웃고 있는 누군가의 마음엔 슬픔이 가득할 수 있는 것처럼요.,0
맞아요. 제가 너무 겉만 보고 그런 깊은 생각은 못 해봤네요. 잘 웃지 못하는 내 성격도 그냥 받아들이고 인정할래요.,그럼요. 대리님 그 모습 그대로 저는 너무 충분하다고 생각해요.,2
"공감화자님, 어제 드디어 제 조카가 태어났어요. 갓 태어난 아기가 얼마나 작고 소중한지 보고 있는 것만으로도 정말 감동이었어요.",언니분이 임신하셨다고 한 게 엊그제 같은데 벌써 출산하셨다니 정말 축하드립니다. 그 작은 생명체가 이 세상에 나온 것을 목격하는 것은 경이로운 일이죠. 얼마나 행복하셨을까요.,2
자는 조카를 바라보는데 마음이 얼마나 뿌듯하던지 저도 모르게 얼굴에 미소가 지어지더라고요. 이 세상에 모든 것을 주고 싶은 마음이었어요. 정말 행복한 하루였어요 집에 가는 발걸음이 어찌나 무겁던지요.,듣기만 해도 행복했던 감정이 저에게 전달이 되는데 감정화자님은 얼마나 마음이 벅차셨을까요. 이 세상에 태어난 조카분도 그 행복한 감정을 고스란히 느꼈을 것 같아요.,2
제 조카가 제가 느낀 감정을 느낄 수 있다는 생각만 해도 기쁨의 눈물이 나네요. 어떻게 어제 처음 본 사람과 이렇게 빨리 사랑에 빠질 수 있을까요 하하. 정말 첫눈에 반한 느낌이에요 조카의 모든 것을 잊을 수가 없어요.,태어난 지 하루 된 아기를 이렇게까지 벌써 사랑하시는데 나중에 더 크면 얼마나 사랑하실까요. 조카분은 감정화자님의 사랑을 듬뿍 받고 자라 자존감이 높은 사람이 될 것 같아요. 이 얼마나 감사한 일인가요.,2
"그러게요, 벌써 조카 바보가 됐나 봐요. 제 동생도 어찌나 대단해 보이는지 그저 어린애인 줄로만 알았는데... 동생이 정말 대견하면서도 마음이 아프더라고요.",옆에서 힘든 모습 지켜보시면서 감정화자님도 얼마나 마음 졸이셨겠어요. 그것도 분만 과정 내내 옆에 같이 있으셨다고 들었는데... 누군가의 고통을 옆에서 지켜보는 게 결코 쉬운 일이 아니죠 동생분도 감정화자님도 수고 많으셨어요.,2
"맞아요. 하지만 그 모든 노고가 아기를 보는 순간 눈 녹듯이 씻겨 내려가는 것 같았어요. 그 순간 느꼈던 감정은 말로 설명할 수가 없어요. 행복, 기쁨, 희열, 반가움 모든 것이 복합적으로 느껴졌어요.",출산이란 이 세상에서 제일 아름다운 일이라고도 하잖아요. 감정화자님이 그 생명이 주는 기쁨을 저에게도 나눠주시는 것 같아 너무 감사하네요. 저 또한 마음이 너무 풍족해진 기분이에요.,2
그렇게 상냥하게 말해주시다니 너무 감사하네요. 공감화자님 말씀대로 너무 기쁜 날이었어요.,그나저나 아기 이름은 지으셨어요? 요즘은 대부분 출산하기 전부터 지으신다고 하던데요.,0
아니요. 작명소에서 받은 이름이 있긴 한데 아직 정하진 않은 것 같아요.,"모든 사람의 축복을 받고 태어났으니 축복이는 어떤가요, 하하하. 사실 이름이 뭐가 중요한가요. 건강하게만 자랐으면 좋겠네요.",2
"공감화자님, 잘 지내고 계시죠? 저는 지금 여행 중이에요. 길을 걷다 보니 공감화자님 생각이 나서 연락드렸어요.","감정화자님, 정말 오랜만이네요. 여행길에서 절 떠올려주시다니 영광이네요. 낭만적이기도 하고요. 그런데 웬일로 평일에 여행을 떠나셨어요?",0
지난달에 회사를 그만뒀거든요. 덕분에 평일에도 편하게 여행을 할 수 있게 되었어요. 약간의 불안감을 함께 품고 다니긴 하지만요.,세상에. 왜 일을 그만두게 되었어요? 누구보다 좋아하던 일이었잖아요. 무슨 일이 있었던 거예요?,0
원하던 일이었지만... 세상은 원하는 대로 흘러가지 않는다는 사실을 깨닫게 되었어요. 회사에서 권고사직 제안을 받았거든요. 따지자면 반강제로 그만두게 된 셈이죠.,그간 많이 힘드셨겠네요. 감정화자님만큼 일에 열정적인 사람을 만나보지 못했는데. 듣는 제 마음도 이렇게 불편한데 감정화자님 마음은 얼마나 무너졌겠어요.,2
