Epoch,Train Loss,Train Accuracy,Valid Loss,Valid Accuracy
,,,,
1,1.045,0.809,0.778,0.918
2,0.75,0.924,0.704,0.943
3,0.691,0.946,0.681,0.945
4,0.652,0.963,0.669,0.955
5,0.631,0.971,0.677,0.945
6,0.615,0.974,0.649,0.952
7,0.601,0.98,0.649,0.952
8,0.597,0.982,0.652,0.96
9,0.593,0.983,0.633,0.961
10,0.589,0.982,0.632,0.961
11,0.582,0.985,0.635,0.958
12,0.575,0.987,0.63,0.962
13,0.574,0.988,0.626,0.964
14,0.572,0.99,0.631,0.967
15,0.567,0.99,0.622,0.964
16,0.564,0.991,0.621,0.961
17,0.561,0.992,0.621,0.967
18,0.563,0.992,0.623,0.961
19,0.56,0.992,0.625,0.962
20,0.56,0.992,0.631,0.958
21,0.556,0.994,0.632,0.959
22,0.558,0.992,0.626,0.962
23,0.557,0.992,0.62,0.964
24,0.553,0.994,0.616,0.964
25,0.552,0.995,0.621,0.964
26,0.552,0.994,0.616,0.959
27,0.549,0.996,0.622,0.961
28,0.554,0.993,0.62,0.964
29,0.55,0.995,0.622,0.962
30,0.549,0.995,0.617,0.965
31,0.546,0.996,0.632,0.962
32,0.549,0.995,0.615,0.964
33,0.547,0.994,0.625,0.965
34,0.547,0.995,0.617,0.963
35,0.545,0.996,0.624,0.961
36,0.546,0.995,0.628,0.962
37,0.543,0.997,0.622,0.964
38,0.546,0.995,0.625,0.961
39,0.545,0.996,0.617,0.968
40,0.541,0.997,0.612,0.967
41,0.542,0.997,0.617,0.965
42,0.542,0.997,0.624,0.963
43,0.543,0.996,0.62,0.962
44,0.543,0.996,0.618,0.964
45,0.541,0.997,0.621,0.963
46,0.539,0.997,0.615,0.965
47,0.545,0.994,0.626,0.958
48,0.544,0.995,0.616,0.966
49,0.539,0.997,0.621,0.965
50,0.539,0.997,0.611,0.967
51,0.539,0.997,0.619,0.963
52,0.54,0.996,0.609,0.967
53,0.538,0.997,0.613,0.967
54,0.537,0.998,0.608,0.965
55,0.538,0.997,0.623,0.96
56,0.538,0.998,0.614,0.97
57,0.538,0.997,0.622,0.963
58,0.54,0.997,0.623,0.964
59,0.537,0.998,0.615,0.967
60,0.537,0.998,0.612,0.971
61,0.535,0.999,0.623,0.961
62,0.538,0.997,0.616,0.965
63,0.537,0.998,0.618,0.963
64,0.536,0.998,0.617,0.963
65,0.537,0.997,0.631,0.959
66,0.536,0.997,0.631,0.961
67,0.536,0.998,0.626,0.964
68,0.535,0.998,0.629,0.961
69,0.537,0.997,0.621,0.962
70,0.536,0.998,0.621,0.96
71,0.536,0.997,0.618,0.963
72,0.536,0.998,0.622,0.958
73,0.534,0.998,0.616,0.964
74,0.535,0.998,0.615,0.964
75,0.534,0.998,0.623,0.963
76,0.533,0.999,0.619,0.962
77,0.535,0.998,0.614,0.966
78,0.533,0.999,0.617,0.961
79,0.533,0.998,0.612,0.964
80,0.533,0.999,0.61,0.964
81,0.532,0.999,0.61,0.966
82,0.534,0.998,0.614,0.964
83,0.535,0.998,0.616,0.957
84,0.534,0.998,0.617,0.964
85,0.533,0.999,0.614,0.969
86,0.532,0.999,0.618,0.964
87,0.534,0.998,0.621,0.961
88,0.533,0.998,0.613,0.967
89,0.534,0.998,0.618,0.962
90,0.531,0.999,0.618,0.967
91,0.534,0.998,0.619,0.963
92,0.533,0.999,0.619,0.964
93,0.533,0.998,0.618,0.964
94,0.532,0.998,0.608,0.97
95,0.531,0.999,0.618,0.962
96,0.532,0.999,0.619,0.96
97,0.532,0.998,0.621,0.963
98,0.532,0.998,0.618,0.965
99,0.533,0.998,0.62,0.964
100,0.532,0.998,0.621,0.963
