problem,answer,difficulty
"귤이 56개 있었습니다. 이 귤을 남학생 5명과 여학생 2명이 각각 5개씩 먹었다면, 먹고 남은 귤은 몇 개인지 풀이 과정을 쓰고 답을 구하세요.","주어진 문제를 하나의 식으로 나타내면 56-(5+2)×5=56-7×5=56-35=21이므로 계산해 보면, 남은 귤은 21개입니다. 따라서 답은 21개입니다.",상
"주어진 설명에 알맞은 식을 세우고 바르게 계산한 친구는 누구인가요? 설명: 112에서 14와 6의 곱을 7로 나눈 값을 뺀 수
철우: (112-14)*6/7=84
기영: 112-14*6/7=100","설명에 따라 식을 세워보면 다음과 같습니다: 112-(14*6)/7 이를 계산하면,
=112-(84/7)
=112-12
=100
따라서 올바르게 계산한 친구는 기영입니다.",중
"a에 들어갈 알맞은 수는 얼마인가요?
a-(5+3)*6/4=10","주어진 식을 계산해보면 다음과 같습니다:
a−(5+3)×6/4=10
식을 계산하면, a−(8×6/4)=10
a-(12)=10
a-12=10
a=22
따라서 알맞은 수는 22입니다.
",중
"계산 결과가 더 큰 식의 기호를 쓰세요.
ㄱ. 24/(4+2)*9-7
ㄴ. 7*5-10+28/4     ","먼저, ㄱ. 24/(4+2)*9-7의 풀이과정은 다음과 같습니다.
1. 괄호 안의 연산을 수행합니다: 4+2=6
2. 나눗셈을 수행합니다: ㅡ24/6=4
3. 곱셈을 수행합니다: 4*9=36
4. 마지막으로 뺼셈을 수행합니다: 36-7=29
따라서 값은 29입니다.
다음으로 ㄴ. 7*5-10+28/4의 풀이과정은 다음과 같습니다.
1. 곱셈을 수행합니다: 7*5=35
2. 나눗셈을 수행합니다: 28/4
3. 덧셈과 뺄셈을 순서대로 수행합니다: 35-10+7=32
따라서 값은 32입니다.
ㄱ와 ㄴ의 값을 비교해보니, ㄱ은 29이고 ㄴ은 32로 ㄴ이 더 큽니다. 따라서 답은 ㄴ입니다.",중
"정사각형 모양의 타일을 사용하여 가로가 90 cm, 세로가 120 cm인 직사각형 모양의 바닥을 빈틈없이 덮으려고 합니다. 한 변의 길이를 보고 사용할 수 없는 타일을 찾아 기호를 쓰세요.
ㄱ. 3cm
ㄴ. 4cm
ㄷ. 6cm
ㄹ. 15cm","가로가 90 cm, 세로가 120 cm인 직사각형 모양의 바닥을 빈틈없이 덮으려면 타일의 한 변의 길이가 직사각형의 가로와 세로의 공약수여야 합니다.
90과 120의 공약수를 구해봅시다.
90의 약수: 1, 2, 3, 5, 6, 9, 10, 15, 18, 30, 45, 90
120의 약수: 1, 2, 3, 4, 5, 6, 8, 10, 12, 15, 20, 24, 30, 40, 60, 120
3cm: 90cm / 3cm = 30, 120cm / 3cm = 40 - 나누어 떨어집니다.
4cm: 90cm / 4cm = 22.5, 120cm / 4cm = 30 - 나누어 떨어지지 않습니다.
6cm: 90cm / 6cm = 15, 120cm / 6cm = 20 - 나누어 떨어집니다.
15cm: 90cm / 15cm = 6, 120cm / 15cm = 8 - 나누어 떨어집니다.
직사각형의 가로와 세로의 약수는 각각 1, 2, 3, 5, 6, 9, 10, 15, 18, 30, 45, 90입니다.
따라서, 주어진 약수 중에서 사용할 수 없는 타일은 4cm(ㄴ)입니다.",상
"6과 15의 공배수와 최소공배수를 구하세요.(공배수는 가장 작은 수부터 차례로 4개까지 쓰세요.)
공배수:
최소공배수:","두 수의 공배수는 두 수의 배수 중 공통인 것들입니다. 두 수의 최소공배수는 두 수의 공배수 중에서 가장 작은 수입니다.
먼저, 6과 15의 공배수를 찾아봅시다:
6의배수: 6, 12, 18, 24, 30, 36, 42, 48, 54, 60, ...
15의배수: 15, 30, 45, 60, 75, 90,…
두 수의 공배수는 30, 60, 90, 120, ... 등이 됩니다.
그 다음, 최소공배수를 찾아봅시다. 공배수 중에서 가장 작은 수는 30입니다.
따라서, 6과 15의 공배수는 30, 60, 90, 120이며, 최소공배수는 30입니다.",중
"30까지의 수 중에서 3의 배수, 4의 배수, 6의 배수는 각각 몇 개인지 풀이 과정을 쓰고 답을 구하시오.
3의 배수 (       )개
4의 배수 (       )개
6의 배수 (       )개","3의 배수는 3, 6, 9, 12, 15, 18, 21, 24, 27, 30으로 10개입니다. 4의 배수는 4, 8, 12, 16, 20, 24, 28로 7개입니다. 6의 배수는 6, 12, 18, 24, 30으로 5개입니다. 답: 10, 7, 5",상
"30까지의 수 중에서 3과 4의 공배수, 4와 6의 공배수, 3과 6의 공배수는 각각 몇 개인지 풀이 과정을 쓰고 답을 구하시오.
3과 4의 공배수 (       )개
4와 6의 공배수 (       )개
3과 6의 공배수 (       )개","3과 4의 공배수는 12, 24로 2개이고 4와 6의 공배수도 12, 24로 2개입니다. 3과 6의 공배수는 6, 12, 18, 24, 30의 5개입니다. 답: 2, 2, 5",상
30까지의 수 중에서 3과 4와 6의 공배수는 몇 개인지 풀이 과정을 쓰고 답을 구하시오. ,"3과 4와 6의 공배수는 12, 24의 2개입니다. 답: 2개",상
"( )안에 알맞은 수를 써넣으세요.
선풍기의 수가 1개이면, 선풍기 날개의 수는 5개입니다.
선풍기의 수가 2개이면, 선풍기 날개의 수는 ( )개입니다.
선풍기의 수가 3개이면, 선풍기 날개의 수는 ( )개입니다.
선풍기의 수가 4개이면, 선풍기 날개의 수는 ( )개입니다.
선풍기의 수가 5개이면, 선풍기 날개의 수는 ( )개입니다.
선풍기 날개의 수는 선풍기의 수를 ( )배한 것과 같습니다.","
선풍기 날개의 수는 선풍기의 수를 곱한 것과 같습니다.

따라서, 빈 칸에 알맞은 수는 다음과 같습니다:

선풍기의 수가 1개이면, 선풍기 날개의 수는 5개입니다.
선풍기의 수가 2개이면, 선풍기 날개의 수는 
2*5=10
2×5=10개입니다.
선풍기의 수가 3개이면, 선풍기 날개의 수는 
3*5=15
3×5=15개입니다.
선풍기의 수가 4개이면, 선풍기 날개의 수는 
4*5=20
4×5=20개입니다.
선풍기의 수가 5개이면, 선풍기 날개의 수는 
5*5=25
5×5=25개입니다.
즉, 선풍기 날새의 수는 선풍기의 수를 5배한 것과 같습니다.
따라서 빈 칸에 들어갈 숫자는 차례로 10, 15, 20, 25, 5입니다.",하
